SUBJ_ID,DATE,AGE_months,TRIAL,FILTER,QUESTION,VERBAL_SELF_screen,VERBAL_SELF,VERBAL_SURROUNDING_screen,VERBAL_SURROUNDING,VERBAL_AR_FILTER,PERCEPTION,KNOWLEDGE,NON-EXPLAN,OTHER_BEHAV,TOUCH_SELF_screen,TOUCH_SELF,TOUCH_SURROUNDING_screen,TOUCH_SURROUNDING,TOUCH_AR_FILTER,Notes
03_2-3-23,2-3-23,84,1,bubbles,Spontaneous,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
03_2-3-23,2-3-23,84,1,bubbles,What do you see on the screen?,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
03_2-3-23,2-3-23,84,1,bubbles,Is there anything on the screen that is real?,0,1,0,0,0,0,0,0,0,0,1,0,0,0,
03_2-3-23,2-3-23,84,1,bubbles,How do you know that its real?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
03_2-3-23,2-3-23,84,1,bubbles,Is there anything on the screen that is not real?,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
03_2-3-23,2-3-23,84,1,bubbles,How do you know that its not real?,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
03_2-3-23,2-3-23,84,2,balloons,Spontaneous,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
03_2-3-23,2-3-23,84,2,balloons,What do you see on the screen?,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
03_2-3-23,2-3-23,84,2,balloons,Is there anything on the screen that is real?,0,1,0,0,0,0,0,0,0,0,1,0,0,0,
03_2-3-23,2-3-23,84,2,balloons,How do you know that its real?,0,1,0,0,0,1,0,0,0,0,0,0,0,0,
03_2-3-23,2-3-23,84,2,balloons,Is there anything on the screen that is not real?,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
03_2-3-23,2-3-23,84,2,balloons,How do you know that is not real?,0,0,0,1,0,1,0,0,0,0,0,0,0,0,
03_2-3-23,2-3-23,84,3,butterflies,Spontaneous,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
03_2-3-23,2-3-23,84,3,butterflies,What do you see on the screen?,1,0,0,0,0,0,0,0,0,0,1,0,0,0,
03_2-3-23,2-3-23,84,3,butterflies,Is there anything on the screen that is real?,0,1,0,0,0,0,0,0,0,0,1,0,0,0,
03_2-3-23,2-3-23,84,3,butterflies,How do you know that its real?,0,0,0,1,0,1,0,0,0,0,0,0,0,0,
03_2-3-23,2-3-23,84,3,butterflies,Is there anything on the screen that is not real?,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
03_2-3-23,2-3-23,84,3,butterflies,How do you know that its not real?,0,0,0,1,0,1,0,0,0,0,0,0,0,0,
03_2-3-23,2-3-23,84,4,hair,Spontaneous,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
03_2-3-23,2-3-23,84,4,hair,What do you see on the screen?,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
03-2-3-23,2-3-23,84,4,hair,Is there anything on the screen that is real?,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
03_2-3-23,2-3-23,84,4,hair,How do you know that its real?,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
03_2-3-23,2-3-23,84,4,hair,Is there anything on the screen that is not real?,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
03_2-3-23,2-3-23,84,4,hair,How do you know that its not real?,0,0,0,0,0,1,0,0,0,0,0,0,0,1,
04_2-3-23,2-3-23,112,1,balloons,Spontaneous,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
